Network_Latency_ms,Packet_Loss_%,Temperature_C,Vibration_Hz,Power_Consumption_kW,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status
10.651,0.208,74.138,3.501,8.612,7.751,477.657,0.345,14.965,1
29.112,2.228,84.265,3.356,2.269,4.989,398.175,0.77,7.678,1
18.357,1.639,44.28,2.08,6.144,0.457,108.075,0.987,8.198,1
29.154,1.161,40.569,0.298,4.068,4.583,329.579,0.983,2.741,2
34.029,4.797,75.064,0.346,6.226,2.288,159.114,0.573,12.101,1
48.399,0.575,80.96,1.386,9.868,4.721,147.688,0.897,0.041,1
23.517,2.089,76.435,4.815,2.617,4.895,222.975,0.221,9.032,1
35.451,3.258,37.67,4.437,7.659,4.236,241.457,0.912,0.738,2
43.648,2.884,75.547,3.128,2.679,7.552,148.458,0.501,11.446,1
23.986,0.564,56.325,0.648,3.402,6.336,281.258,0.805,3.688,2
1.609,4.328,66.551,1.61,2.613,8.739,142.85,0.27,14.122,1
46.548,0.913,54.136,0.864,6.757,3.09,438.301,0.388,6.988,1
35.077,1.635,30.807,4.331,2.403,5.256,66.025,0.213,4.37,1
24.485,1.843,89.775,4.376,5.278,5.594,172.273,0.829,3.453,1
8.266,3.474,40.551,1.52,5.848,3.383,384.275,0.657,0.766,2
15.413,2.319,70.397,3.385,2.628,2.787,489.49,0.101,5.275,1
1.998,3.627,43.298,0.601,4.401,8.022,346.866,0.734,12.559,1
49.16,4.788,32.225,3.92,5.971,2.556,267.614,0.323,3.638,2
41.284,3.917,89.329,2.134,5.479,4.682,420.447,0.678,0.866,0
24.176,2.433,30.387,1.104,3.97,7.159,58.407,0.979,5.366,1
15.513,0.164,67.059,2.256,1.929,4.81,168.54,0.903,2.221,1
21.857,1.598,74.395,1.942,2.695,8.859,66.484,0.168,10.713,1
14.916,2.807,63.941,3.201,9.011,4.901,258.687,0.092,10.739,1
35.633,1.456,76.113,2.043,5.868,0.143,256.098,0.951,6.061,1
22.979,0.602,40.238,2.503,4.575,6.7,157.284,0.191,12.468,1
36.291,0.914,31.429,3.016,7.275,3.635,498.303,0.028,4.025,2
12.403,1.926,62.094,4.36,5.061,9.748,199.691,0.716,5.495,1
28.11,3.943,56.035,3.79,8.39,1.544,279.401,0.889,1.17,2
44.295,3.646,76.011,0.774,2.864,9.728,146.633,0.681,8.493,1
20.764,2.053,33.65,1.874,3.436,8.094,190.565,0.304,4.886,1
29.125,2.93,33.216,4.545,4.411,8.794,478.513,0.746,9.612,1
1.48,2.538,50.157,3.567,8.118,3.022,175.117,0.957,13.559,1
20.429,2.756,77.445,1.552,9.26,3.533,465.304,0.243,0.508,0
47.929,0.604,58.123,0.515,6.557,1.337,74.995,0.842,7.667,1
8.398,0.289,77.219,4.707,4.951,9.24,309.312,0.19,2.897,2
2.454,0.549,68.355,3.587,7.489,4.081,445.248,0.042,4.993,2
29.639,1.714,55.736,4.504,5.722,8.067,264.548,0.857,8.654,1
48.554,0.886,80.087,1.03,7.618,4.754,454.494,0.547,5.803,1
38.475,3.002,69.964,2.41,7.521,5.936,477.243,0.766,0.833,0
29.619,1.283,55.209,4.982,2.975,0.97,62.928,0.131,7.615,1
22.456,0.811,36.698,1.405,5.671,4.22,459.908,0.442,14.407,1
48.645,4.858,51.976,4.494,2.93,8.657,241.375,0.906,4.086,2
29.156,3.353,33.527,3.885,4.431,3.58,135.155,0.033,14.77,1
3.303,2.401,58.998,1.017,6.142,7.124,428.221,0.141,7.843,1
4.597,1.526,33.289,3.078,9.048,1.714,288.663,0.379,9.67,1
33.577,0.073,76.224,3.132,1.588,9.841,373.034,0.204,9.417,1
15.105,4.046,51.363,1.865,8.175,6.714,317.721,0.44,8.945,1
9.011,1.83,66.585,0.359,9.697,2.447,491.132,0.982,8.824,1
26.929,2.843,48.295,2.615,3.339,7.183,79.607,0.505,4.044,1
46.629,0.478,82.936,0.631,3.012,7.127,221.685,0.661,5.189,1
6.846,2.922,59.492,2.341,5.607,9.315,406.847,0.633,4.729,2
40.138,3.457,74.868,3.998,4.374,2.321,147.797,0.078,3.273,1
34.46,2.455,69.617,4.211,2.062,2.037,210.398,0.105,7.5,1
8.664,2.535,72.068,4.982,6.865,9.722,281.186,0.015,0.17,2
31.591,2.703,60.998,3.085,9.558,9.723,105.697,0.161,12.002,1
18.075,2.091,89.917,2.262,5.85,4.733,457.031,0.647,5.155,1
41.009,4.09,36.069,2.397,2.982,9.319,197.316,0.446,10.683,1
3.569,2.349,60.486,3.072,6.726,3.178,429.971,0.706,2.235,2
5.422,2.506,51.958,4.478,7.218,7.021,418.69,0.795,8.159,1
46.7,2.045,51.569,3.843,1.757,1.289,151.261,0.495,5.095,1
13.095,3.588,75.257,2.381,1.958,3.895,157.344,0.907,5.219,1
30.804,1.916,30.443,4.481,6.078,0.589,461.966,0.2,9.299,1
14.441,3.977,53.1,3.252,8.699,1.388,353.671,0.405,11.126,1
10.712,4.986,54.63,1.378,7.023,8.51,449.303,0.384,9.126,1
40.676,4.184,60.381,2.059,5.561,6.664,99.78,0.084,11.091,1
22.117,1.328,53.684,0.862,5.394,0.802,299.306,0.574,5.201,1
28.017,1.921,47.623,3.148,2.285,8.191,228.254,0.201,12.701,1
36.796,3.36,63.021,2.312,6.197,5.109,393.672,0.756,5.719,1
35.81,0.41,84.463,2.097,7.473,1.617,395.769,0.053,0.14,2
15.855,4.292,49.635,4.349,8.487,8.584,288.525,0.991,13.788,1
43.324,0.84,36.338,0.131,8.032,8.077,435.828,0.639,12.943,1
38.914,0.931,60.002,1.226,9.694,4.995,192.225,0.35,4.924,1
17.433,4.502,80.583,4.252,6.123,2.268,199.54,0.885,10.732,1
49.889,1.429,38.25,1.909,4.373,6.025,279.52,0.815,13.967,1
44.382,1.811,80.93,1.364,8.404,3.953,318.549,0.899,12.612,1
27.693,0.332,72.766,3.811,5.554,0.368,138.442,0.757,6.587,1
22.796,4.308,63.539,1.903,5.702,2.199,482.367,0.54,4.604,2
41.124,1.643,56.85,3.601,4.798,8.422,433.243,0.619,6.902,1
47.083,0.715,55.168,4.373,7.7,2.51,348.469,0.675,8.02,1
31.237,2.652,73.549,4.901,4.279,5.91,362.265,0.289,1.266,2
36.121,4.088,58.467,4.813,5.404,7.808,189.036,0.333,8.893,1
5.78,4.861,69.243,2.249,7.073,7.678,227.551,0.57,5.193,1
34.007,0.044,32.22,3.005,7.097,9.034,294.62,0.95,7.931,1
23.185,3.021,86.423,1.204,8.155,1.446,221.232,0.936,8.758,1
42.548,4.863,57.097,0.679,6.406,3.482,357.861,0.427,9.812,1
44.622,1.127,84.838,3.766,7.845,4.516,408.657,0.612,3.385,2
17.415,2.016,67.818,3.587,2.594,7.985,99.408,0.415,4.673,1
23.621,0.454,69.664,2.293,4.128,1.092,440.704,0.454,3.831,2
11.187,2.143,41.769,4.445,3.878,7.54,298.369,0.376,8.734,1
39.23,0.839,34.259,0.921,3.233,1.085,81.912,0.959,9.44,1
29.871,2.148,43.031,3.666,9.257,5.858,84.458,0.225,7.282,1
28.389,3.006,62.104,3.253,6.008,7.326,61.523,0.875,3.034,1
15.246,4.042,32.142,2.394,2.401,6.921,394.91,0.339,12.241,1
29.523,2.199,82.68,4.745,2.872,0.728,369.831,0.287,0.762,2
23.749,1.592,55.432,3.866,8.158,1.634,428.645,0.519,12.795,1
33.77,2.243,59.077,4.261,2.337,1.868,473.97,0.228,4.442,2
40.415,3.808,38.628,3.453,4.103,3.134,486.237,0.606,14.472,1
17.919,0.541,81.532,3.905,6.072,3.811,363.795,0.33,10.783,1
3.281,4.637,69.582,4.721,7.794,9.599,253.663,0.372,12.224,1
2.474,4.516,35.322,3.06,4.164,5.931,486.574,0.079,6.587,1
39.706,4.684,41.122,2.272,3.607,9.104,419.198,0.888,5.915,1
48.92,0.657,32.984,2.812,8.756,2.965,256.08,0.46,0.86,2
24.823,1.713,66.906,2.37,6.677,5.454,191.224,0.394,0.431,1
12.617,2.755,37.431,4.308,5.105,5.561,464.717,0.271,14.551,1
27.16,0.282,59.075,4.96,8.176,7.711,337.657,0.479,11.958,1
13.446,1.252,72.458,1.323,1.774,2.48,491.367,0.653,11.069,1
4.753,0.951,61.604,1.523,7.936,9.534,281.053,0.067,9.086,1
30.125,1.869,58.201,4.933,9.462,9.979,119.421,0.17,11.711,1
47.524,0.059,35.844,2.478,8.093,1.535,326.834,0.383,3.144,2
26.328,4.909,60.941,1.053,8.939,6.827,108.285,0.336,13.093,1
37.301,0.646,34.315,3.289,2.468,4.047,182.501,0.101,13.128,1
5.252,1.532,30.833,1.046,1.924,2.088,136.213,0.405,0.868,1
42.739,3.442,80.998,3.453,5.476,0.616,161.663,0.186,12.396,1
23.11,0.04,85.79,3.869,5.426,1.168,333.719,0.481,2.654,2
