Date,Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status,Latency_Normalized,Latency_Performance,Packet_Loss_Normalized,Packet_Loss_Performance,Network_Performance_Index,Network_Performance_Index_%
01-01-2025,00:00:00,39,Idle,74.138,3.501,8.612,10.651,0.208,7.751,477.657,0.345,14.965,Low,0.19695918367346937,0.8030408163265306,0.0416,0.9584,0.8807204081632654,88.07204081632653
01-01-2025,00:01:00,29,Active,84.265,3.356,2.269,29.112,2.228,4.989,398.175,0.77,7.678,Low,0.5737142857142857,0.42628571428571427,0.44560000000000005,0.5544,0.49034285714285714,49.034285714285716
01-01-2025,00:02:00,15,Active,44.28,2.08,6.144,18.357,1.639,0.457,108.075,0.987,8.198,Low,0.35422448979591836,0.6457755102040816,0.3278,0.6722,0.6589877551020409,65.89877551020409
01-01-2025,00:03:00,43,Active,40.569,0.298,4.068,29.154,1.161,4.583,329.579,0.983,2.741,Medium,0.5745714285714286,0.4254285714285714,0.23220000000000002,0.7678,0.5966142857142858,59.66142857142857
01-01-2025,00:04:00,8,Idle,75.064,0.346,6.226,34.029,4.797,2.288,159.114,0.573,12.101,Low,0.674061224489796,0.325938775510204,0.9593999999999999,0.04060000000000008,0.18326938775510204,18.326938775510204
01-01-2025,00:05:00,21,Active,80.96,1.386,9.868,48.399,0.575,4.721,147.688,0.897,0.041,Low,0.9673265306122449,0.03267346938775506,0.11499999999999999,0.885,0.45883673469387753,45.88367346938775
01-01-2025,00:06:00,39,Active,76.435,4.815,2.617,23.517,2.089,4.895,222.975,0.221,9.032,Low,0.45953061224489794,0.5404693877551021,0.4178,0.5822,0.5613346938775511,56.133469387755106
01-01-2025,00:07:00,19,Active,37.67,4.437,7.659,35.451,3.258,4.236,241.457,0.912,0.738,Medium,0.7030816326530612,0.29691836734693877,0.6516,0.34840000000000004,0.3226591836734694,32.26591836734694
01-01-2025,00:08:00,23,Active,75.547,3.128,2.679,43.648,2.884,7.552,148.458,0.501,11.446,Low,0.8703673469387756,0.1296326530612244,0.5768,0.4232,0.2764163265306122,27.641632653061222
01-01-2025,00:09:00,11,Active,56.325,0.648,3.402,23.986,0.564,6.336,281.258,0.805,3.688,Medium,0.46910204081632656,0.5308979591836734,0.11279999999999998,0.8872,0.7090489795918367,70.90489795918367
01-01-2025,00:10:00,11,Active,66.551,1.61,2.613,1.609,4.328,8.739,142.85,0.27,14.122,Low,0.012428571428571428,0.9875714285714285,0.8656,0.13439999999999996,0.5609857142857142,56.09857142857142
01-01-2025,00:11:00,24,Active,54.136,0.864,6.757,46.548,0.913,3.09,438.301,0.388,6.988,Low,0.9295510204081633,0.07044897959183671,0.1826,0.8174,0.44392448979591836,44.39244897959183
01-01-2025,00:12:00,36,Active,30.807,4.331,2.403,35.077,1.635,5.256,66.025,0.213,4.37,Low,0.6954489795918367,0.3045510204081633,0.327,0.673,0.48877551020408166,48.87755102040817
01-01-2025,00:13:00,40,Active,89.775,4.376,5.278,24.485,1.843,5.594,172.273,0.829,3.453,Low,0.47928571428571426,0.5207142857142857,0.3686,0.6314,0.5760571428571428,57.605714285714285
01-01-2025,00:14:00,24,Active,40.551,1.52,5.848,8.266,3.474,3.383,384.275,0.657,0.766,Medium,0.1482857142857143,0.8517142857142856,0.6948000000000001,0.3051999999999999,0.5784571428571428,57.84571428571428
01-01-2025,00:15:00,3,Active,70.397,3.385,2.628,15.413,2.319,2.787,489.49,0.101,5.275,Low,0.29414285714285715,0.7058571428571428,0.4638,0.5362,0.6210285714285715,62.10285714285715
01-01-2025,00:16:00,22,Active,43.298,0.601,4.401,1.998,3.627,8.022,346.866,0.734,12.559,Low,0.02036734693877551,0.9796326530612245,0.7253999999999999,0.27460000000000007,0.6271163265306123,62.71163265306123
01-01-2025,00:17:00,2,Active,32.225,3.92,5.971,49.16,4.788,2.556,267.614,0.323,3.638,Medium,0.9828571428571428,0.017142857142857237,0.9576,0.04239999999999999,0.029771428571428615,2.9771428571428613
01-01-2025,00:18:00,24,Active,89.329,2.134,5.479,41.284,3.917,4.682,420.447,0.678,0.866,High,0.8221224489795919,0.17787755102040814,0.7834,0.21660000000000001,0.19723877551020408,19.723877551020408
01-01-2025,00:19:00,44,Active,30.387,1.104,3.97,24.176,2.433,7.159,58.407,0.979,5.366,Low,0.47297959183673466,0.5270204081632653,0.4866,0.5134000000000001,0.5202102040816328,52.021020408163274
01-01-2025,00:20:00,30,Active,67.059,2.256,1.929,15.513,0.164,4.81,168.54,0.903,2.221,Low,0.29618367346938773,0.7038163265306123,0.0328,0.9672,0.8355081632653061,83.55081632653061
01-01-2025,00:21:00,38,Active,74.395,1.942,2.695,21.857,1.598,8.859,66.484,0.168,10.713,Low,0.42565306122448976,0.5743469387755102,0.3196,0.6804,0.6273734693877551,62.73734693877551
01-01-2025,00:22:00,2,Active,63.941,3.201,9.011,14.916,2.807,4.901,258.687,0.092,10.739,Low,0.28400000000000003,0.716,0.5614,0.4386,0.5772999999999999,57.72999999999999
01-01-2025,00:23:00,21,Idle,76.113,2.043,5.868,35.633,1.456,0.143,256.098,0.951,6.061,Low,0.706795918367347,0.293204081632653,0.2912,0.7088,0.5010020408163265,50.10020408163265
01-01-2025,00:24:00,33,Active,40.238,2.503,4.575,22.979,0.602,6.7,157.284,0.191,12.468,Low,0.44855102040816325,0.5514489795918367,0.1204,0.8796,0.7155244897959183,71.55244897959183
