Date,Timestamp,Machine_ID,Operation_Mode,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%,Efficiency_Status
01-01-2025,00:00:00,39,Idle,74.138,3.501,8.612,10.651,0.208,7.751,477.657,0.345,14.965,Low
01-01-2025,00:01:00,29,Active,84.265,3.356,2.269,29.112,2.228,4.989,398.175,0.770,7.678,Low
01-01-2025,00:02:00,15,Active,44.280,2.080,6.144,18.357,1.639,0.457,108.075,0.987,8.198,Low
01-01-2025,00:03:00,43,Active,40.569,0.298,4.068,29.154,1.161,4.583,329.579,0.983,2.741,Medium
01-01-2025,00:04:00,8,Idle,75.064,0.346,6.226,34.029,4.797,2.288,159.114,0.573,12.101,Low
01-01-2025,00:05:00,21,Active,80.960,1.386,9.868,48.399,0.575,4.721,147.688,0.897,0.041,Low
01-01-2025,00:06:00,39,Active,76.435,4.815,2.617,23.517,2.089,4.895,222.975,0.221,9.032,Low
01-01-2025,00:07:00,19,Active,37.670,4.437,7.659,35.451,3.258,4.236,241.457,0.912,0.738,Medium
01-01-2025,00:08:00,23,Active,75.547,3.128,2.679,43.648,2.884,7.552,148.458,0.501,11.446,Low
01-01-2025,00:09:00,11,Active,56.325,0.648,3.402,23.986,0.564,6.336,281.258,0.805,3.688,Medium
01-01-2025,00:10:00,11,Active,66.551,1.610,2.613,1.609,4.328,8.739,142.850,0.270,14.122,Low
01-01-2025,00:11:00,24,Active,54.136,0.864,6.757,46.548,0.913,3.090,438.301,0.388,6.988,Low
01-01-2025,00:12:00,36,Active,30.807,4.331,2.403,35.077,1.635,5.256,66.025,0.213,4.370,Low
01-01-2025,00:13:00,40,Active,89.775,4.376,5.278,24.485,1.843,5.594,172.273,0.829,3.453,Low
01-01-2025,00:14:00,24,Active,40.551,1.520,5.848,8.266,3.474,3.383,384.275,0.657,0.766,Medium
01-01-2025,00:15:00,3,Active,70.397,3.385,2.628,15.413,2.319,2.787,489.490,0.101,5.275,Low
01-01-2025,00:16:00,22,Active,43.298,0.601,4.401,1.998,3.627,8.022,346.866,0.734,12.559,Low
01-01-2025,00:17:00,2,Active,32.225,3.920,5.971,49.160,4.788,2.556,267.614,0.323,3.638,Medium
01-01-2025,00:18:00,24,Active,89.329,2.134,5.479,41.284,3.917,4.682,420.447,0.678,0.866,High
01-01-2025,00:19:00,44,Active,30.387,1.104,3.970,24.176,2.433,7.159,58.407,0.979,5.366,Low
01-01-2025,00:20:00,30,Active,67.059,2.256,1.929,15.513,0.164,4.810,168.540,0.903,2.221,Low
01-01-2025,00:21:00,38,Active,74.395,1.942,2.695,21.857,1.598,8.859,66.484,0.168,10.713,Low
01-01-2025,00:22:00,2,Active,63.941,3.201,9.011,14.916,2.807,4.901,258.687,0.092,10.739,Low
01-01-2025,00:23:00,21,Idle,76.113,2.043,5.868,35.633,1.456,0.143,256.098,0.951,6.061,Low
01-01-2025,00:24:00,33,Active,40.238,2.503,4.575,22.979,0.602,6.700,157.284,0.191,12.468,Low
01-01-2025,00:25:00,12,Idle,31.429,3.016,7.275,36.291,0.914,3.635,498.303,0.028,4.025,Medium
01-01-2025,00:26:00,22,Idle,62.094,4.360,5.061,12.403,1.926,9.748,199.691,0.716,5.495,Low
01-01-2025,00:27:00,44,Active,56.035,3.790,8.390,28.110,3.943,1.544,279.401,0.889,1.170,Medium
01-01-2025,00:28:00,25,Active,76.011,0.774,2.864,44.295,3.646,9.728,146.633,0.681,8.493,Low
01-01-2025,00:29:00,49,Active,33.650,1.874,3.436,20.764,2.053,8.094,190.565,0.304,4.886,Low
01-01-2025,00:30:00,27,Maintenance,33.216,4.545,4.411,29.125,2.930,8.794,478.513,0.746,9.612,Low
01-01-2025,00:31:00,42,Active,50.157,3.567,8.118,1.480,2.538,3.022,175.117,0.957,13.559,Low
01-01-2025,00:32:00,28,Active,77.445,1.552,9.260,20.429,2.756,3.533,465.304,0.243,0.508,High
01-01-2025,00:33:00,16,Active,58.123,0.515,6.557,47.929,0.604,1.337,74.995,0.842,7.667,Low
01-01-2025,00:34:00,15,Idle,77.219,4.707,4.951,8.398,0.289,9.240,309.312,0.190,2.897,Medium
01-01-2025,00:35:00,47,Active,68.355,3.587,7.489,2.454,0.549,4.081,445.248,0.042,4.993,Medium
01-01-2025,00:36:00,44,Active,55.736,4.504,5.722,29.639,1.714,8.067,264.548,0.857,8.654,Low
01-01-2025,00:37:00,3,Active,80.087,1.030,7.618,48.554,0.886,4.754,454.494,0.547,5.803,Low
01-01-2025,00:38:00,37,Idle,69.964,2.410,7.521,38.475,3.002,5.936,477.243,0.766,0.833,High
01-01-2025,00:39:00,7,Active,55.209,4.982,2.975,29.619,1.283,0.970,62.928,0.131,7.615,Low
01-01-2025,00:40:00,21,Active,36.698,1.405,5.671,22.456,0.811,4.220,459.908,0.442,14.407,Low
01-01-2025,00:41:00,9,Idle,51.976,4.494,2.930,48.645,4.858,8.657,241.375,0.906,4.086,Medium
01-01-2025,00:42:00,39,Active,33.527,3.885,4.431,29.156,3.353,3.580,135.155,0.033,14.770,Low
01-01-2025,00:43:00,18,Active,58.998,1.017,6.142,3.303,2.401,7.124,428.221,0.141,7.843,Low
01-01-2025,00:44:00,4,Active,33.289,3.078,9.048,4.597,1.526,1.714,288.663,0.379,9.670,Low
01-01-2025,00:45:00,25,Active,76.224,3.132,1.588,33.577,0.073,9.841,373.034,0.204,9.417,Low
01-01-2025,00:46:00,14,Active,51.363,1.865,8.175,15.105,4.046,6.714,317.721,0.440,8.945,Low
01-01-2025,00:47:00,50,Maintenance,66.585,0.359,9.697,9.011,1.830,2.447,491.132,0.982,8.824,Low
01-01-2025,00:48:00,9,Maintenance,48.295,2.615,3.339,26.929,2.843,7.183,79.607,0.505,4.044,Low
01-01-2025,00:49:00,26,Active,82.936,0.631,3.012,46.629,0.478,7.127,221.685,0.661,5.189,Low
01-01-2025,00:50:00,2,Active,59.492,2.341,5.607,6.846,2.922,9.315,406.847,0.633,4.729,Medium
01-01-2025,00:51:00,20,Active,74.868,3.998,4.374,40.138,3.457,2.321,147.797,0.078,3.273,Low
01-01-2025,00:52:00,28,Active,69.617,4.211,2.062,34.460,2.455,2.037,210.398,0.105,7.500,Low
01-01-2025,00:53:00,47,Idle,72.068,4.982,6.865,8.664,2.535,9.722,281.186,0.015,0.170,Medium
01-01-2025,00:54:00,7,Active,60.998,3.085,9.558,31.591,2.703,9.723,105.697,0.161,12.002,Low
01-01-2025,00:55:00,44,Active,89.917,2.262,5.850,18.075,2.091,4.733,457.031,0.647,5.155,Low
01-01-2025,00:56:00,8,Idle,36.069,2.397,2.982,41.009,4.090,9.319,197.316,0.446,10.683,Low
01-01-2025,00:57:00,47,Active,60.486,3.072,6.726,3.569,2.349,3.178,429.971,0.706,2.235,Medium
01-01-2025,00:58:00,35,Active,51.958,4.478,7.218,5.422,2.506,7.021,418.690,0.795,8.159,Low
01-01-2025,00:59:00,14,Idle,51.569,3.843,1.757,46.700,2.045,1.289,151.261,0.495,5.095,Low
01-01-2025,01:00:00,17,Idle,75.257,2.381,1.958,13.095,3.588,3.895,157.344,0.907,5.219,Low
01-01-2025,01:01:00,36,Idle,30.443,4.481,6.078,30.804,1.916,0.589,461.966,0.200,9.299,Low
01-01-2025,01:02:00,50,Active,53.100,3.252,8.699,14.441,3.977,1.388,353.671,0.405,11.126,Low
01-01-2025,01:03:00,40,Active,54.630,1.378,7.023,10.712,4.986,8.510,449.303,0.384,9.126,Low
01-01-2025,01:04:00,4,Active,60.381,2.059,5.561,40.676,4.184,6.664,99.780,0.084,11.091,Low
01-01-2025,01:05:00,2,Active,53.684,0.862,5.394,22.117,1.328,0.802,299.306,0.574,5.201,Low
01-01-2025,01:06:00,6,Idle,47.623,3.148,2.285,28.017,1.921,8.191,228.254,0.201,12.701,Low
01-01-2025,01:07:00,42,Active,63.021,2.312,6.197,36.796,3.360,5.109,393.672,0.756,5.719,Low
01-01-2025,01:08:00,4,Active,84.463,2.097,7.473,35.810,0.410,1.617,395.769,0.053,0.140,Medium
01-01-2025,01:09:00,29,Active,49.635,4.349,8.487,15.855,4.292,8.584,288.525,0.991,13.788,Low
01-01-2025,01:10:00,18,Active,36.338,0.131,8.032,43.324,0.840,8.077,435.828,0.639,12.943,Low
01-01-2025,01:11:00,26,Active,60.002,1.226,9.694,38.914,0.931,4.995,192.225,0.350,4.924,Low
01-01-2025,01:12:00,44,Idle,80.583,4.252,6.123,17.433,4.502,2.268,199.540,0.885,10.732,Low
01-01-2025,01:13:00,34,Idle,38.250,1.909,4.373,49.889,1.429,6.025,279.520,0.815,13.967,Low
01-01-2025,01:14:00,10,Active,80.930,1.364,8.404,44.382,1.811,3.953,318.549,0.899,12.612,Low
01-01-2025,01:15:00,36,Active,72.766,3.811,5.554,27.693,0.332,0.368,138.442,0.757,6.587,Low
01-01-2025,01:16:00,14,Idle,63.539,1.903,5.702,22.796,4.308,2.199,482.367,0.540,4.604,Medium
01-01-2025,01:17:00,31,Active,56.850,3.601,4.798,41.124,1.643,8.422,433.243,0.619,6.902,Low
01-01-2025,01:18:00,48,Maintenance,55.168,4.373,7.700,47.083,0.715,2.510,348.469,0.675,8.020,Low
01-01-2025,01:19:00,15,Active,73.549,4.901,4.279,31.237,2.652,5.910,362.265,0.289,1.266,Medium
01-01-2025,01:20:00,8,Idle,58.467,4.813,5.404,36.121,4.088,7.808,189.036,0.333,8.893,Low
01-01-2025,01:21:00,14,Active,69.243,2.249,7.073,5.780,4.861,7.678,227.551,0.570,5.193,Low
01-01-2025,01:22:00,23,Active,32.220,3.005,7.097,34.007,0.044,9.034,294.620,0.950,7.931,Low
01-01-2025,01:23:00,40,Active,86.423,1.204,8.155,23.185,3.021,1.446,221.232,0.936,8.758,Low
01-01-2025,01:24:00,21,Active,57.097,0.679,6.406,42.548,4.863,3.482,357.861,0.427,9.812,Low
01-01-2025,01:25:00,16,Idle,84.838,3.766,7.845,44.622,1.127,4.516,408.657,0.612,3.385,Medium
01-01-2025,01:26:00,45,Active,67.818,3.587,2.594,17.415,2.016,7.985,99.408,0.415,4.673,Low
01-01-2025,01:27:00,18,Active,69.664,2.293,4.128,23.621,0.454,1.092,440.704,0.454,3.831,Medium
01-01-2025,01:28:00,47,Active,41.769,4.445,3.878,11.187,2.143,7.540,298.369,0.376,8.734,Low
01-01-2025,01:29:00,24,Idle,34.259,0.921,3.233,39.230,0.839,1.085,81.912,0.959,9.440,Low
01-01-2025,01:30:00,26,Active,43.031,3.666,9.257,29.871,2.148,5.858,84.458,0.225,7.282,Low
01-01-2025,01:31:00,25,Idle,62.104,3.253,6.008,28.389,3.006,7.326,61.523,0.875,3.034,Low
01-01-2025,01:32:00,45,Active,32.142,2.394,2.401,15.246,4.042,6.921,394.910,0.339,12.241,Low
01-01-2025,01:33:00,41,Active,82.680,4.745,2.872,29.523,2.199,0.728,369.831,0.287,0.762,Medium
01-01-2025,01:34:00,29,Maintenance,55.432,3.866,8.158,23.749,1.592,1.634,428.645,0.519,12.795,Low
01-01-2025,01:35:00,15,Active,59.077,4.261,2.337,33.770,2.243,1.868,473.970,0.228,4.442,Medium
01-01-2025,01:36:00,45,Active,38.628,3.453,4.103,40.415,3.808,3.134,486.237,0.606,14.472,Low
